Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,60%,70%,80%,90%,95%,99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1738153354,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1738153359,75,grpc,/company.v1.UserService/GetUsers,0.000000,0.000000,54,55,55,57,68,95,95,95,17,0,55,64.73364676458004,48.861425999348285,129.14489499962656,80462.05882352941
1738153359,75,grpc,/company.v1.UserService/GetUserStatistics,5.333333,0.000000,12,12,13,15,23,72,77,77,51,0,12,16.31836666652531,9.693326999695273,77.46099600080925,1111.3529411764705
1738153359,75,grpc,/company.v1.UserService/GetUserPermissions,0.000000,0.000000,0,0,0,0,0,0,0,0,1,0,13.891456001147162,13.891456001147162,13.891456001147162,13.891456001147162,1893.0
1738153359,75,grpc,/company.v1.UserService/GetUserDetails,15.000000,0.000000,72,87,100,100,130,130,150,150,75,0,87,83.11355376002514,25.301613999545225,145.67076900129905,260.56
1738153359,75,,Aggregated,20.333333,0.000000,49,55,67,88,100,130,140,150,144,0,52,56.80636585412281,9.693326999695273,145.67076900129905,10041.451388888889
1738153364,150,grpc,/company.v1.UserService/GetUsers,7.500000,0.000000,55,57,60,64,68,81,95,95,94,0,55,59.84247545736852,47.078846999283996,129.14489499962656,80498.64893617021
1738153364,150,grpc,/company.v1.UserService/GetUserStatistics,11.625000,0.000000,12,12,13,15,23,42,77,92,129,0,12,15.917574868200422,9.693326999695273,91.62212499904854,1109.8992248062016
1738153364,150,grpc,/company.v1.UserService/GetUserPermissions,4.750000,0.000000,12,13,15,17,28,40,93,94,103,0,12,16.705997873623787,5.746284999986528,93.7487589999364,1598.4368932038835
1738153364,150,grpc,/company.v1.UserService/GetUserDetails,15.000000,0.000000,89,98,100,130,150,170,200,200,151,0,92,93.64523947681165,9.209113000906655,200.72093599992513,260.8476821192053
1738153364,150,,Aggregated,38.875000,0.000000,43,53,60,78,100,130,190,200,477,0,45,49.34949432488953,5.746284999986528,200.72093599992513,16591.35639412998
1738153369,225,grpc,/company.v1.UserService/GetUsers,14.000000,0.000000,57,58,60,64,73,82,92,96,174,0,57,59.657971384956326,47.078846999283996,129.14489499962656,80499.07471264368
1738153369,225,grpc,/company.v1.UserService/GetUserStatistics,15.700000,0.000000,11,12,13,15,27,49,92,120,221,0,11,16.256708049728513,9.367554999698768,120.55455799963966,1109.7420814479638
1738153369,225,grpc,/company.v1.UserService/GetUserPermissions,22.400000,0.000000,12,13,14,16,26,66,98,110,326,0,12,17.237109177875954,5.3151070005696965,110.2133340009459,1622.9447852760736
1738153369,225,grpc,/company.v1.UserService/GetUserDetails,16.700000,0.000000,94,100,110,120,130,160,170,170,279,0,90,83.02131572764995,7.283758999619749,200.72093599992513,262.1899641577061
